ad_id,ad_name,status,campaign_name
"AD-0001","ES-Influencer-Padre Matías-Child Loss-43s-Nadie sabe lo que estoy viviendo -CamBD-V3 -","ACTIVE","Child Loss"
"AD-0002","ES-Hallow--Evergreen-13s-casi olvido de que se trataba todo esto -VoiceOver-V1","ACTIVE","Evergreen"
"AD-0003","V061_LATAM_250902_S7D Giorgio Frassati_jaime____8_Ayram","ACTIVE","S7D Giorgio Frassati"
"AD-0004","V051_LATAM__S7D Giorgio Frassati_claracuevas3_VOI_S04A05P02I01E03N06_V1_8_Influencer.mp4","ACTIVE","S7D Giorgio Frassati"
"AD-0005","V157_LATAM__Pope Monthly Intention_popeworldwideprayernetwork_VOI_S03A04P02I04E06N06_V1_10_Ayram","ACTIVE","Pope Monthly Intention"
"AD-0006","V323_LATAM__Virgin of Schoenstatt Novena_padrerorro_VOI_S02A05P01I04E02N03_V2_10_Ayram","ACTIVE","Virgin of Schoenstatt Novena"
"AD-0007","V319_LATAM__Screwtape-Letters_manualparaenamorarse_VOI_S02A06P02I05E03N06_V1_8_Ayram","ACTIVE","Screwtape-Letters"
"AD-0008","V320_LATAM__Psalms_camilaplata81_VOI_S05A04P02I03E02N06_V1_10_Camila","ACTIVE","Psalms"
"AD-0009","V334_LATAM__International Rosary_fathermatiasjurado_VOI_S03A01P02I03E06N01_V1_10_Violeta","ACTIVE","International Rosary"
"AD-0010","V339_LATAM__Pslams_camilaplata81_VOI_S03A06P02I01E02N03_V1_10_Camila","ACTIVE","Pslams"
"AD-0011","I027_LATAM__Evergreen_hallowapp.es_Still_S01A01P05I04E05N01_V1_10_Hallow","ACTIVE","Evergreen"
"AD-0012","V417_LATAM__Christ the King_monshectormperez_VOI_S03A04P02I03E03N06_V1_9_Valentin","ACTIVE","Christ the King"
"AD-0013","IO39_LATAM_251119_Advent2025_hallowapp.es__Loreto Peralta redescover Gods Presence_V1_10_Hallow","ACTIVE","General"
"AD-0014","V004_LATAM__Un Momento con Jesús_faridieck_VOI_S04A06P02I01E04N01_V2_5_Valentin","ACTIVE","Un Momento con Jesús"
"AD-0015","V287_ES__Rosario Para Sanar_hallowapp.es_HUV_S01A05P04I05E03N05_V1_10_Valentin — Cópia","ACTIVE","Rosario Para Sanar"
"AD-0016","ES-SH-Valentin-Espíritu Santo-60s-Una devoción que promete dones especiales Jaime´s Voice-VoiceOver-V1","ACTIVE","Espíritu Santo"
"AD-0017","V331_LATAM__International Rosary_allfathers_VOI_S06A01P02I03E06N01_V1_10_Violeta — Cópia","ACTIVE","International Rosary"
"AD-0018","V415_LATAM__Christ the King_arzobispomty_VOI_S02A06P02I03E03N06_V1_10_Valentin","ACTIVE","Christ the King"
"AD-0019","ES-SH-Camila -St Michaels Lent-59s-Lo que sientes es real-CamLayF-V1","ACTIVE","St Michaels Lent"
"AD-0020","ES-Influencer-Rorro Echávez-St Michaels Lent-32s-Hook Pain vivimos en una batalla espiritual + Invitación Waitlist-CamBD-V2","ACTIVE","St Michaels Lent"
"AD-0021","Theme-ES-Evergreen-SH-VideoEdit-Jesus da proposito-Valentin-V1","ACTIVE","SH"
"AD-0022","ES-SH-Camila -Un momento con Jesús-49s-¿Quieres pasar un momento con Jesús?-CamLayF-V1","ACTIVE","Un momento con Jesús"
"AD-0023","ES-Hallow-St Michaels Lent--waitlist-SocialStill-V1","ACTIVE","St Michaels Lent"
"AD-0024","ES-SH-Camila -St Michaels Lent-47s-Vive tu batalla acompañado de San Miguel-CamLayF-V1","ACTIVE","St Michaels Lent"
"AD-0025","ES-Influencer-Padre Pablo López-Un momento con Jesús-60s-Sesgo de confirmación + Invitación-CamBD-V1","ACTIVE","Un momento con Jesús"
"AD-0026","ES-SH-Camila -Novena to Our Lady of Mount Carmel-58s-Promesas de la Virgen del Carmen-CamLayF-V1","ACTIVE","Novena to Our Lady of Mount Carmel"
"AD-0027","ES-Influencer-Farid Dieck-Evergreen-57s-Stuart Ignatius Long + Invitación a la app-CamBD-V1","ACTIVE","Evergreen"
"AD-0028","Theme-ES-Evergreen-SH-48s-VoiceOver-Ponernos en presencia de Dios-Valentin-V1","ACTIVE","SH"
"AD-0029","ES-SH-Valentin-Evergreen-23s-Él siempre está ahí Footage Jesús App Icons-VoiceOver-V1","ACTIVE","Evergreen"
"AD-0030","V045_LATAM_Evergreen_manualparaenamorarse_VOI_S02A03P02I03E03N06_V1_8_Ayram","ACTIVE","Evergreen"
"AD-0031","ES-Influencer-Padre César Pérez LC-Sagrado Corazón-40s-Historia Margarita Alacoque Fire transition-CamBD-V1","ACTIVE","Sagrado Corazón"
"AD-0032","ES-Influencer-Padre Pablo López-Un momento con Jesús-57s-Trailer Close Shot in Studio edited by Valentin-CamBD-V1","ACTIVE","Un momento con Jesús"
"AD-0033","ES-Influencer-Ayram Edery -Evergreen--CRISIS DE FE SUB-CamLayF-V3","ACTIVE","Evergreen"
"AD-0034","V368_LATAM__Homilies_fatherguillermoserra_VOI_S03A06P02I02E03N02_V2_10_Violeta","ACTIVE","Homilies"
"AD-0035","I033__251031_Screwtape Letters_hallowapp.es___IG Illo + guides names_V1_10_","ACTIVE","Screwtape Letters"
"AD-0036","I032__251031_Screwtape Letters_hallowapp.es___V1_10_","ACTIVE","Screwtape Letters"
"AD-0037","V286_ES__Adviento_juanpaobregon_HUV_S02A05P02I06E01N05_V1_10_Valentin","ACTIVE","Adviento"
"AD-0038","V183_LATAM__Evergreen_jaime_HUV_S04A03P05I04E04N06_V1_9_Ayram","ACTIVE","Evergreen"
"AD-0039","V182_LATAM__Evergreen_jaime_HUV_S05A06P06I06E03N06_V1_6_Ayram","ACTIVE","Evergreen"
"AD-0040","V181_LATAM__Evergreen_jaime_HUV_S01A03P03I04E03N06_V1_9_Ayram","ACTIVE","Evergreen"
"AD-0041","I023_LATAM__Rosary_hallowapp.es_Still_S03A04P06I04E05N01_V1_10_Hallow","ACTIVE","Rosary"
"AD-0042","I024_LATAM__Evergreen_hallowapp.es_Still_S03A04P06I04E05N01_V1_8_Hallow","ACTIVE","Evergreen"
"AD-0043","V006_LATAM__Evergreen_manualparaenamorarse_VOI_S03A05P02I05E03N03_V1_6_Ayram","ACTIVE","Evergreen"
"AD-0044","V031_LATAM_24082025_S7D_oarecoletos_____","ACTIVE","24082025"
"AD-0045","V052_LATAM__S7D Giorgio Frassati_heribertogarciaar__S03A03P02I03E03N06_V1_10_Ayram","ACTIVE","S7D Giorgio Frassati"
"AD-0046","V024_LATAM__S7D_oarecoletos_VOI_S02A04P02I03E03N02_V1_5_Valentin 9x16","ACTIVE","S7D"
"AD-0047","ES-Influencer-Rosa & Verbo-St Michaels Lent-60s-Ejercita el espíritu con San Miguel Arcángel -VoiceOver-V2","ACTIVE","St Michaels Lent"
"AD-0048","ES-Influencer-Padre Ernesto María Caro-St Michaels Lent--Vicios y tentaciones diarias e invitacion a cuaresma en la app -CamBD-V1","ACTIVE","St Michaels Lent"
"AD-0049","V267_LATAM__Screwtape Letters_manualparaenamorarse_VOI_S02A04P02I03E04N06_V1_9_Ayram","ACTIVE","Screwtape Letters"
"AD-0050","V245_LATAM__Evergreen_isabelrojasestape__S02A06P02I02E03N06_V4_10_Valentin.mp4","ACTIVE","Evergreen"
"AD-0051","V338_LATAM__Christ the King_camilaplata81_VOI_S03A04P02I03E02N06_V1_9_Camila 9x16.","ACTIVE","Christ the King"
"AD-0052","V254_LATAM__Month of the Rosary _allfathers_VOI_S04A06P02I03E06N06_V1_10_Ayram","ACTIVE","Month of the Rosary"
"AD-0053","V158_LATAM__Pope Monthly Intention_popeworldwideprayernetwork_VOI_S03A03P02I03E03N06_V2_10_Ayram","ACTIVE","Pope Monthly Intention"
"AD-0054","ES-Influencer-Farid Dieck-Evergreen-57s-Stuart Ignatius Long + Invitación a la app-CamBD-V1","ACTIVE","Evergreen"
"AD-0055","V003_LATAM__Un Momento con Jesús_faridieck_HUV_S02A04P06I01E05N03_V1_5_Valentin","ACTIVE","Un Momento con Jesús"
"AD-0056","ES-SH-Camila -RosarioParaDormir-30s-Rezar mientras duermo-VideoEdit-V1","ACTIVE","RosarioParaDormir"
"AD-0057","ES-Influencer-Farid Dieck-Un momento con Jesús-33s-Video - Un momento con Jesús -VideoEdit-V1","ACTIVE","Un momento con Jesús"
"AD-0058","V041_LATAM_S7D_manualparaenamorarse_VOI_S02A04P02I03E03N02_V1_9_Ayram","ACTIVE","S7D"
"AD-0059","V042_LATAM__S7D_jaime_HUV_S04A05P05I03E03N02_V1_8_Ayram","ACTIVE","S7D"
"AD-0060","V070_LATAM__STD Giorgio Frassati_heribertogarciaar_VOI_S02A02P02I03E03N06_V1_9_Ayram","ACTIVE","STD Giorgio Frassati"
"AD-0061","I005_LATAM__Detachment _hallowapp.es__image isabel + padre Matias IG _V1_10_Hallow","ACTIVE","Detachment"
"AD-0062","ES-Influencer-Farid Dieck-Un momento con Jesús-26s-Video - Un momento con Jesús -VideoEdit-V1","ACTIVE","Un momento con Jesús"
"AD-0063","V101_LATAM__S7D Carlo Acutis_padrepanesso_VOI_S03A03P02I03E03N06_V1_10_Ayram","ACTIVE","S7D Carlo Acutis"
"AD-0064","I022_ES__Novena al Abandono_pasosanto_Still_Carrousel Te cuesta recibir ayuda_V1_10_Influencer","ACTIVE","Novena al Abandono"
"AD-0065","V237_LATAM__Virgin of Schoenstatt Novena_padrerorro_VOI_S04A04P02I04E01N06_V1_9_Ayram","ACTIVE","Virgin of Schoenstatt Novena"
"AD-0066","V303_LATAM__International Rosary_allfathers_VOI_S03A06P02I01E06N02_V2__Violeta","ACTIVE","International Rosary"
"AD-0067","V287_ES__Rosario Para Sanar_hallowapp.es_HUV_S01A05P04I05E03N05_V1_10_Valentin","ACTIVE","Rosario Para Sanar"
"AD-0068","V305_LATAM__International Rosary_allfathers_VOI_S01A06P02I02E06N01_V4__Violeta","ACTIVE","International Rosary"
"AD-0069","V318_LATAM__Christ the King_ayram_HUV_S03A04P05I03E03N06_V1_10_Ayram","ACTIVE","Christ the King"
"AD-0070","V405_LATAM__Advent2025_faridieck_VOI__V1_10_Valentin","ACTIVE","Advent2025"
"AD-0071","ES-Influencer-Ayram Edery-Evergreen--Ataques de panico - Anxiety -CamLayF-V1","ACTIVE","Evergreen"
